Dp,ph
100.88202880131209,5.873258582663036
101.77183735068762,6.159816532498157
102.6694942677452,6.46026126773312
103.57506877734805,6.775188609711439
104.48863071494307,7.105208666534097
105.4102505319455,7.45095074174957
106.33999930117247,7.813067256475817
107.27794872232388,8.192236739526969
108.2241711275116,8.589165982852148
109.17873948683754,9.00459148303974
110.14172741402083,9.439280297877366
111.11320917207514,9.894030443845311
112.09325967903499,10.369670949432077
113.0819545137336,10.867061663301056
114.0793699216314,11.38709289808653
115.08558282069552,11.930684971888226
116.10067080733194,12.498787691786767
117.12471216236902,13.092379807859798
118.157785857095,13.712468452806712
119.19997155934725,14.360088571614469
120.2513496396565,15.036302337710664
121.31200117744477,15.742198546597663
122.38200796727789,16.478891974745956
123.4614525251732,17.247522690233367
124.55041809496348,18.049255301905248
125.64898865471568,18.88527813537645
126.75724892320763,19.756802326710407
127.87528436646117,20.665060827865315
129.0031812043331,21.61130732179334
130.14102641716414,22.596815049292296
131.28890775248658,23.62287555424732
132.44691373179157,24.69079735871977
133.61513365735493,25.801904584435096
134.79365761912445,26.95753554260253
135.98257650166713,28.15904131969929
137.18198199117808,29.407784392942368
138.39196658255102,30.70513731566964
139.61262358651118,32.05248151986317
140.84404713681164,33.45120629057911
142.0863321974919,34.9027079752038
143.33957457020176,36.40838949921614
144.60387090158918,37.96966026959422
145.87931869075334,39.587936557135144
147.1660162967636,41.264642459776006
148.46406294624455,43.00121156051113
149.77355874102852,44.79908940560802
151.09460466587447,46.65973694152863
152.4273025962561,48.58463506205922
153.77175530621827,50.57529043054978
155.12806647630222,52.63324275556419
156.49634070154178,54.760073711315904
157.8766834995287,56.95741770653592
159.2692013185509,59.22697471628759
160.67400154580025,61.57052539979697
162.09119251565483,63.98994873263719
163.52088351803312,66.48724238208167
164.96318480682214,69.06454604847734
166.41820760838002,71.72416798092554
167.88606413011308,74.46861484974839
169.36686756912997,77.30062511823738
170.86073212096983,80.22320599829258
172.36777298840946,83.23967399495723
173.88810639034745,86.35369893902632
175.4218495707665,89.56935127013412
176.96912080777486,92.89115216039212
178.53003942272824,96.32412585590802
180.10472578943052,99.87385335638032
181.6933013434175,103.54652624803737
183.29588859132116,107.34899915070194
184.91261112031754,111.28883883588158
186.54359360765696,115.3743676223483
188.18896183027886,119.61469816540512
189.84884267451213,124.01975623700946
191.523364145859,128.6002875627241
193.2126553788673,133.3678442624482
194.9168466470888,138.3347459661157
196.63606937312542,143.51401028530833
198.3704561387644,148.91924706850807
200.12014069520225,154.5645108152857
201.8852579733602,160.46410584752024
203.66594409428848,166.6323394188632
205.46233637966426,173.08321897702277
207.27457336238166,179.83009136911943
209.10279479723462,186.88522397797337
210.9471416716947,194.2593306543873
212.80775621678347,201.96104888166377
214.68478191804152,209.9963788240527
216.57836352659268,218.36809963702365
218.48864707030762,227.0751834109814
220.41577986506488,236.1122320241671
222.35991052611135,245.46896651783666
224.32118897952347,255.12980180706273
226.29976647376836,265.07354098510274
228.295795591369,275.27322257364875
230.30943026066944,285.6961503396612
232.3408257677063,296.3041284929206
234.39013876818382,307.05391526849616
236.45752729955456,317.8978955543326
238.54315079320702,328.7849592249233
240.64717008676018,339.6615574316071
242.7697474364679,350.4728957618256
244.91104652973019,361.1642124514112
247.0712324977172,371.68208308661923
249.25047192810385,381.97569144826537
251.448932877916,391.998009753176
253.66678488649086,401.7068403085407
255.90419898855214,411.0656836436525
258.1613477273981,420.04441412166165
260.4384051682092,428.61976112153434
262.7355469114707,436.77561026832296
265.05295010651474,444.50315314367197
267.3907934651815,451.80092400109135
269.74925727560105,458.6747672414359
272.1285234160973,465.1377792628124
274.5287753692126,471.2102627539072
276.9501982358584,476.91972095778743
279.3929787495896,482.3009046712898
281.85730529100476,487.39590684105457
284.3433679022736,492.2542798859123
286.8513583017921,496.9331308085862
289.3814698989688,501.49713036480375
291.933897809138,506.0183566931436
294.5088388686076,510.57588250387823
297.1064916498385,515.2550097152252
299.72705647675804,520.1460577021037
302.37073544020797,525.3426223386151
305.0377324135295,530.939243934283
307.7282530682861,537.0284541404349
310.44250489012296,543.6972160802019
313.18069719476847,551.0228292645802
315.9430411441764,559.0684413933395
318.72974976280926,567.8783910715005
321.54103795406724,577.4736934794031
324.3771225168596,587.8480647816174
327.23822216232566,598.9649444131893
330.124557530699,610.7559965141272
333.03635120832394,623.1215309581777
335.9738277448202,635.9331645278477
338.9372136704001,649.0388411836335
341.92673751333774,662.2700642213939
344.94262981759186,675.4509007346312
347.98512316058634,688.40805383237
351.054452171144,700.9811167530455
354.1508535475819,713.0320683705988
357.27456607596423,724.4531580523284
360.4258306485169,735.1725435685786
363.60489028220485,745.1573448570358
366.8119901374731,754.4140992169648
370.0473775371517,762.9868902561794
373.3113019855294,770.9536278103583
376.60401518759494,778.421055207268
379.9257710684473,785.5190528082774
383.27682579287807,792.3947105102384
386.6574377851255,799.2064860040139
390.0678677488058,806.1185834195826
393.5083786870141,813.2955108572999
396.9792359226098,820.8966339220588
400.480707118676,829.0704606322308
404.01306229916094,837.9483929682775
407.57657386970254,847.6377814364823
411.17151663863393,858.2143363974633
414.79816783817836,869.7142871195396
418.45680714582596,882.1271153713823
422.1477167059032,895.3901606793962
425.8711811513305,909.3867767042173
429.6274876255732,923.9498361904766
433.4169258047843,938.8720498917393
437.2397879201435,953.9236789575402
441.0963687803951,968.8768643297567
444.98696579458,983.5342872876906
448.91187899497294,997.7586764021388
452.8714110602198,1011.4991972685758
456.8658673386795,1024.8111564450924
460.8955558719708,1037.8665518433752
464.9607874187286,1050.9544187576048
469.0618754785692,1064.4712271193562
473.19913631626486,1078.9024731735508
477.3728889861344,1094.7969559740977
481.5834553566477,1112.7350913437037
485.8311601352473,1133.292178967933
490.11633089338875,1156.997070289525
494.4392980918021,1184.286502469703
498.8003951059771,1215.4558034017025
503.19995825187027,1250.6080394009923
507.63832681184215,1289.6061279605647
512.1158430608215,1332.0357671930476
516.6328522927001,1377.1903754098842
521.1897028469613,1424.0908374341734
525.7867461355444,1471.5503023019382
530.4243366699415,1518.2856519449251
535.102832088539,1563.0632937135183
539.8225931841965,1604.8527298179454
544.583983932071,1642.9549027895155
549.3873715176845,1677.0787604756144
554.2331263652414,1707.355967198633
559.1216221661954,1734.3010845527174
564.0532359080645,1758.7348265238525
569.0283479035064,1781.689196860746
574.0473418196458,1804.3084548055685
579.1106047076614,1827.7531772198965
584.2185270326357,1853.109223414544
589.3715027036642,1881.300573885258
594.5699291042364,1913.0051958675892
599.8142071228766,1948.5762710314377
605.1047411840619,1987.9770178678898
610.4419392794105,2030.7448896352246
615.826212999143,2076.00719858064
621.2579775638247,2122.569367684618
626.737651856386,2169.081299614621
632.2656584544266,2214.2539498459896
637.8424236628,2257.0621754860867
643.4683775464931,2296.8656681280204
649.1439539637887,2333.4238218602213
654.8695905997255,2366.8348393500146
660.6457289998494,2397.4455655431902
666.4728146042656,2425.7581749002507
672.3512967819908,2452.335046395602
678.2816288656031,2477.693192104067
684.2642681862064,2502.1849732646047
690.2996761086962,2525.876351316876
696.3883180673389,2548.4520929979735
702.5306636016658,2569.1949192373017
708.7271863926806,2587.0958824834115
714.9783642993929,2601.1413725318853
721.2846793956637,2610.7613281275835
727.6466180073849,2616.2899931328266
734.0646707499834,2619.139703296094
740.5393325662551,2621.4566352867646
747.071102764533,2625.4606852378815
753.6604850571958,2632.9545091301916
760.3079875995088,2645.212918456688
767.0141230288128,2663.1055220970247
773.7794085040582,2687.215959836579
780.6043657456863,2717.8057604216156
787.4895210758627,2754.59353807188
794.4354054590658,2796.4287117709155
801.4425545430352,2841.029113164232
808.511508700076,2885.0300626498038
815.6428130687337,2924.624856325951
822.837017595832,2956.905856801406
830.0946770788846,2981.3435037028257
837.416351208879,2999.964896856371
844.8026046134371,3015.8226721484043
852.2540069003625,3031.5556883948216
859.77113270156,3049.1374716185233
867.3545617173548,3070.3370434924896
875.0048787611961,3097.0876582124133
882.7226738047558,3131.3137795376224
890.5085420234258,3174.234154053708
898.3630838422159,3225.4819725391544
906.2869049820598,3282.556898045336
914.2806165065215,3341.277586879903
922.3448348689227,3397.8348907399068
930.4801819598811,3451.3555034693213
938.6872851552682,3502.9947149137192
946.9667773645923,3552.8835509658957
955.3192970798038,3599.392421761322
963.74548842454,3640.533277829716
972.2460012037901,3675.5788966052337
980.8214909540128,3705.36485326917
989.4726189936857,3731.1763546800244
998.2000524743071,3753.2751420330246
1007.0044644318427,3770.3156684061228
1015.8865338386291,3780.9156608018607
1024.846945655737,3787.733968457822
1033.8863908857877,3796.741323605464
1043.0055666262465,3810.575047430467
1052.2051761231783,3827.305185101977
1061.4859288254813,3843.504114731376
1070.8485404395972,3857.7046011632883
1080.2937329847034,3870.7015108267024
1089.822234848398,3883.237761049538
1099.434780842864,3894.054009556719
1109.1321122615407,3900.424613157618
1118.9149769362884,3903.4846277795164
1128.784129295061,3911.0068390033
1138.740330420082,3925.902484693022
1148.7843481065438,3944.5321773184464
1158.9169569218088,3962.1228122697257
1169.138938265149,3979.265476519335
1179.451080428002,4000.825677668613
1189.854178654763,4030.397395721241
1200.3490352041135,4067.350109316048
1210.9364594108845,4109.351028802529
1221.6172677484772,4163.67230883059
1232.3922838918209,4233.172758512593
1243.2623387808942,4310.877251452943
1254.228270684808,4384.734868588351
1265.2909252664465,4449.208753521943
1276.451155647685,4506.933794254634
1287.7098224751774,4561.158087040109
1299.067793986733,4612.323081010312
1310.5259460782654,4662.591122218239
1322.0851623713434,4720.999923989361
1333.7463342813323,4787.937463640356
1345.5103610861381,4854.465413610192
1357.3781499955562,4910.919739376321
1369.3506162212325,4958.9068517190335
1381.4286830472483,5001.915736047817
