setV,readV
10,10.60723455157131
10,10.676337056793272
10,10.687442816561088
10,10.755311348475516
10,10.809606174007058
10,11.014445743057877
30,11.03219296055613
10,11.134141153888777
30,11.191382322067511
30,11.203722582649789
10,11.22545517864637
30,11.308614797599148
30,11.42337922101433
10,11.451272293925285
30,11.4665701330523
30,11.506058966915589
30,11.559122087419382
30,11.617121312156087
10,11.725214368198067
30,12.476003448682604
35,14.181427461153362
35,14.299893962743226
35,14.366531369887525
35,14.42946669885714
35,14.438104881264735
35,14.48499787147739
35,14.517082548991311
35,14.619506711824215
35,14.642953206930542
35,14.950225695429253
40,19.681481602674467
40,19.99369019540609
40,20.094880332180765
40,20.215814885887085
40,20.345387622001
40,20.51568321803643
40,20.516917244094657
40,21.600392123218626
40,21.929877080765436
40,22.205064891750226
45,25.191407952661393
45,25.239534968932276
45,25.30370432396012
45,25.47276589393732
45,25.67144408931199
45,25.89727085796767
45,25.912079170666402
45,26.62287818020559
45,26.668537144360016
45,26.687047535233432
50,30.99873458268121
50,31.098690693397657
50,31.199880830172333
50,31.36647434803308
50,31.413367338245735
50,31.502217214438133
50,31.598471246979898
50,31.618215663911542
50,31.692257227405207
50,31.781107103597606
55,36.18904818358715
55,36.45066170793143
55,37.052866424346576
55,37.12567396178201
55,37.25524669789593
55,37.46873320596933
55,37.800686215632595
55,38.691653029673034
55,38.80024732279708
55,38.9791811012401
60,41.88284441625001
60,42.319689640862634
60,42.522069914411986
60,42.593643425789196
60,42.665216937166406
60,42.69483356256387
60,42.781215386639815
60,42.945340852384106
60,44.060900409022
60,44.70753006353334
65,47.822211834500195
65,47.95548664878879
65,48.0714850982622
65,48.12701627088245
65,48.1381225054065
65,48.22573835554067
65,48.234376537948265
65,48.393565899459645
65,48.44416096784698
65,50.44821928640886
70,53.891151988864294
70,54.034299011618714
70,54.08736213212251
70,54.10340447087947
70,54.13178707021871
70,54.14782940897567
70,54.27987019720604
70,54.572334373006015
70,55.302877799476846
70,55.754531336788204
75,56.31231111510715
75,56.589966978208395
75,56.61588152543118
75,56.6479662029451
75,56.67634880228434
75,56.7281778967299
75,57.03298233311216
75,57.10949194872228
75,57.12059818324633
75,58.607599583410774
80,61.81976941297762
80,61.899981106762425
80,62.10482943242823
80,62.32078399261809
80,62.444186598440865
80,62.53303647463326
80,62.57746141272946
80,62.65397102833958
80,62.91435052662564
80,62.99579624646867
85,67.44816226455441
85,67.62833006905566
85,67.70607371072401
85,67.92819840120501
85,67.98002749565057
85,68.0343246422126
85,68.13798283110373
85,68.32678881801257
85,68.95614210770873
85,69.03388574937708
90,72.96672679694893
90,73.2320423994679
90,73.29250967632106
90,73.29744578055397
90,73.58250580000458
90,73.63310086839192
90,73.65284528532356
90,73.67505775437166
90,73.68369593677926
90,74.2056889594096
95,78.45320665182953
95,78.59141757035104
95,78.73333056704723
95,78.85549914681178
95,78.89498798067507
95,79.30591865806491
95,79.48732048862439
95,79.50583087949781
95,80.2746291137737
95,81.12117098971794
100,84.15810911901644
100,84.24819302126707
100,84.3827018616139
100,84.49623225897085
100,84.65665564654046
100,84.67763408953033
100,84.75537773119868
100,84.97256631744676
100,85.19715906004421
100,86.17327367210237
105,89.50391000325908
105,89.99011627020082
105,90.13943342324637
105,90.21964511703118
105,90.33564356650459
105,90.53061968370457
