setV,readV
10,21.307927947418648
10,21.480691595570534
10,21.630008748616092
10,21.791666162243928
10,21.959493706162903
10,22.226043334740098
10,22.305021002466674
10,22.799865451816004
10,22.989905464783078
10,23.04913871557801
15,24.502821412170306
15,24.73111623294244
15,24.738520389291807
15,24.81873208307661
15,24.998899887577863
15,25.075409503187984
15,25.332086923299357
15,25.515956805975293
15,25.64306148997275
15,25.93058956153982
20,30.320020250655944
20,30.32125427671417
20,30.337296615471132
20,30.368147266926826
20,30.43108259589644
20,30.507592211506562
20,30.54708104536985
20,31.164094074483728
20,31.364006295916624
20,31.37758058255713
25,35.48195125222264
25,35.74850088079984
25,35.80279802736186
25,36.20755857446056
25,36.233473121683346
25,36.31368481546815
25,36.31862091970106
25,36.464235994571936
25,36.657978085713694
25,37.008441486250376
30,41.301618142824736
30,41.52867893753864
30,41.786590383708244
30,42.429517960044905
30,42.440624194568954
30,42.62326005118666
30,42.92189435727778
30,43.083551770905615
30,43.126742682943586
30,43.501886604644824
35,47.05464762628253
35,47.22617724837619
35,47.37426037536352
35,47.442131808566046
35,47.45694012126478
35,47.663022472988814
35,47.89625339799386
35,49.50048727368994
35,50.12243640703673
35,51.12816764449235
40,52.55840384597832
40,52.70031684267451
40,52.791634770983364
40,52.945888028261834
40,53.154438432102324
40,53.2778410379251
40,53.51600806716306
40,54.18361616466427
40,55.286835460719885
40,57.83880134913488
45,58.57181282772217
45,59.06789130312973
45,59.34184508805629
45,59.37269573951198
45,59.53311912708159
45,59.69971264494234
45,59.76388199997018
45,59.86507213674486
45,59.865072136744864
45,59.95021993476257
50,61.09292806468147
50,61.78891876152193
50,62.15048839658266
50,62.301039575686445
50,62.318315940501634
50,62.5034198492358
50,62.70580012278515
50,62.87732974487881
50,63.11919885229145
50,63.69425499542558
55,67.57156487037719
55,67.75049864882021
55,67.85539086376957
55,68.247811150286
55,68.55631766484294
55,68.56865792542521
55,69.40656161896186
55,69.57932526711375
55,70.3197409020504
55,71.08236900603515
60,72.58047664072365
60,72.58788079707301
60,72.77298470580718
60,73.24931876428309
60,73.49118787169573
60,73.66148346773116
60,73.84288529829064
60,73.92679907025013
60,74.19828480306023
60,76.29736312810564
65,78.31005962907511
65,78.79132979178394
65,78.88017966797634
65,79.0739217591181
65,79.17140981771809
65,79.92046363506233
65,80.13395014313573
65,80.48194549155596
65,80.50415796060406
65,80.70283615597873
70,84.03347248713544
70,84.08900365975569
70,84.2630013339658
70,84.26300133396582
70,84.27287354243163
70,85.13052165289992
70,85.9610211900872
70,86.17203964604414
70,86.29667627792514
